14:46:45, 200, {'Content-Type': 'text/html', 'Content-Length': 8056, 'X-Content-Type-Options': 'nosniff'}, /static/html/MySchedule.html
14:46:45, 200, {'Content-Type': 'text/css', 'Content-Length': 1300, 'X-Content-Type-Options': 'nosniff'}, /static/css/MySchedule.css
14:46:45, 200, {'Content-Type': 'application/javascript', 'Content-Length': 6410, 'X-Content-Type-Options': 'nosniff'}, /static/js/MySchedule.js
14:46:45, 200, {'Content-Type': 'image/png', 'Content-Length': 52512, 'X-Content-Type-Options': 'nosniff'}, /static/img/gophers-mascot.png
14:46:46, 200, {'Content-Type': 'image/png', 'Content-Length': 110981, 'X-Content-Type-Options': 'nosniff'}, /static/img/Goldy.png
14:46:46, 200, {'Content-Type': 'text/html; charset=utf-8', 'Content-Length': 143, 'X-Content-Type-Options': 'nosniff'}, /favicon.ico
14:46:46, 200, {'Content-Type': 'text/html', 'Content-Length': 883, 'X-Content-Type-Options': 'nosniff'}, /static/html/stockQuotes.html
14:46:46, 200, {'Content-Type': 'text/css', 'Content-Length': 777, 'X-Content-Type-Options': 'nosniff'}, /static/css/stockquote.css
14:46:46, 200, {'Content-Type': 'application/javascript', 'Content-Length': 12625, 'X-Content-Type-Options': 'nosniff'}, /static/js/stocks.js
14:46:46, 200, {'Content-Type': 'application/javascript', 'Content-Length': 1230, 'X-Content-Type-Options': 'nosniff'}, /static/js/stockquote.js
14:46:46, 200, {'Content-Type': 'text/html; charset=utf-8', 'Content-Length': 143, 'X-Content-Type-Options': 'nosniff'}, /favicon.ico
14:46:47, 200, {'Content-Type': 'text/html', 'Content-Length': 3527, 'X-Content-Type-Options': 'nosniff'}, /static/html/AboutMe.html
14:46:47, 200, {'Content-Type': 'text/css', 'Content-Length': 1003, 'X-Content-Type-Options': 'nosniff'}, /static/css/AboutMe.css
14:46:47, 200, {'Content-Type': 'application/javascript', 'Content-Length': 903, 'X-Content-Type-Options': 'nosniff'}, /static/js/AboutMeClock.js
14:46:48, 200, {'Content-Type': 'text/html; charset=utf-8', 'Content-Length': 143, 'X-Content-Type-Options': 'nosniff'}, /favicon.ico
14:46:54, 200, {'Content-Type': 'text/html', 'Content-Length': 1809, 'X-Content-Type-Options': 'nosniff'}, /static/html/MyServer.html
14:46:54, 200, {'Content-Type': 'text/html; charset=utf-8', 'Content-Length': 143, 'X-Content-Type-Options': 'nosniff'}, /favicon.ico
14:46:57, 307, {'Location': 'https://www.youtube.com/results?search_query='}, /redirect?query=SQL&site=youtube
14:47:00, 200, {'Content-Type': 'text/html; charset=utf-8', 'Content-Length': 143, 'X-Content-Type-Options': 'nosniff'}, /favicon.ico
14:47:03, 200, {'Content-Type': 'text/plain', 'Content-Length': 3, 'X-Content-Type-Options': 'nosniff'}, /calculator?num1=2&operator=%2B&num2=2
14:47:03, 200, {'Content-Type': 'text/html; charset=utf-8', 'Content-Length': 143, 'X-Content-Type-Options': 'nosniff'}, /favicon.ico
14:47:19, 200, {'Content-Type': 'text/html; charset=utf-8', 'Content-Length': 143, 'X-Content-Type-Options': 'nosniff'}, /favicon.ico
10:26:59, 200, {'Content-Type': 'text/html', 'Content-Length': 1809, 'X-Content-Type-Options': 'nosniff'}, /static/html/MyServer.html
10:26:59, 200, {'Content-Type': 'text/html; charset=utf-8', 'Content-Length': 143, 'X-Content-Type-Options': 'nosniff'}, /favicon.ico
10:26:59, 200, {'Content-Type': 'text/html', 'Content-Length': 1809, 'X-Content-Type-Options': 'nosniff'}, /static/html/MyServer.html
10:26:59, 200, {'Content-Type': 'text/html; charset=utf-8', 'Content-Length': 143, 'X-Content-Type-Options': 'nosniff'}, /favicon.ico
10:26:59, 200, {'Content-Type': 'text/html', 'Content-Length': 1809, 'X-Content-Type-Options': 'nosniff'}, /static/html/MyServer.html
10:26:59, 200, {'Content-Type': 'text/html; charset=utf-8', 'Content-Length': 143, 'X-Content-Type-Options': 'nosniff'}, /favicon.ico
10:27:00, 200, {'Content-Type': 'text/html', 'Content-Length': 253, 'X-Content-Type-Options': 'nosniff'}, /static/html/Coffman.html
10:27:00, 200, {'Content-Type': 'text/html', 'Content-Length': 143, 'X-Content-Type-Options': 'nosniff'}, /Users/jonathan/Desktop/4131/derej009_hw4/static/img/coffman.png
10:27:00, 200, {'Content-Type': 'text/html; charset=utf-8', 'Content-Length': 143, 'X-Content-Type-Options': 'nosniff'}, /favicon.ico
10:27:01, 200, {'Content-Type': 'text/html; charset=utf-8', 'Content-Length': 143, 'X-Content-Type-Options': 'nosniff'}, /favicon.ico
10:27:05, 200, {'Content-Type': 'text/plain', 'Content-Length': 3, 'X-Content-Type-Options': 'nosniff'}, /calculator?num1=2&operator=%2B&num2=2
10:27:05, 200, {'Content-Type': 'text/html; charset=utf-8', 'Content-Length': 143, 'X-Content-Type-Options': 'nosniff'}, /favicon.ico
10:29:23, 200, {'Content-Type': 'text/html; charset=utf-8', 'Content-Length': 143, 'X-Content-Type-Options': 'nosniff'}, /favicon.ico
10:33:40, 200, {'Content-Type': 'text/html; charset=utf-8', 'Content-Length': 143, 'X-Content-Type-Options': 'nosniff'}, /favicon.ico
10:33:40, 200, {'Content-Type': 'text/html', 'Content-Length': 8056, 'X-Content-Type-Options': 'nosniff'}, /static/html/MySchedule.html
10:33:40, 200, {'Content-Type': 'text/css', 'Content-Length': 1300, 'X-Content-Type-Options': 'nosniff'}, /static/css/MySchedule.css
10:33:40, 200, {'Content-Type': 'application/javascript', 'Content-Length': 6410, 'X-Content-Type-Options': 'nosniff'}, /static/js/MySchedule.js
10:33:40, 200, {'Content-Type': 'image/png', 'Content-Length': 52512, 'X-Content-Type-Options': 'nosniff'}, /static/img/gophers-mascot.png
10:33:40, 200, {'Content-Type': 'text/html', 'Content-Length': 3513, 'X-Content-Type-Options': 'nosniff'}, /static/html/MyForm.html
10:33:40, 200, {'Content-Type': 'text/css', 'Content-Length': 950, 'X-Content-Type-Options': 'nosniff'}, /static/css/MyForm.css
10:33:41, 200, {'Content-Type': 'text/html; charset=utf-8', 'Content-Length': 143, 'X-Content-Type-Options': 'nosniff'}, /favicon.ico
10:33:41, 200, {'Content-Type': 'text/html', 'Content-Length': 3527, 'X-Content-Type-Options': 'nosniff'}, /static/html/AboutMe.html
10:33:41, 200, {'Content-Type': 'text/css', 'Content-Length': 1003, 'X-Content-Type-Options': 'nosniff'}, /static/css/AboutMe.css
10:33:41, 200, {'Content-Type': 'application/javascript', 'Content-Length': 903, 'X-Content-Type-Options': 'nosniff'}, /static/js/AboutMeClock.js
10:33:42, 200, {'Content-Type': 'text/html', 'Content-Length': 883, 'X-Content-Type-Options': 'nosniff'}, /static/html/stockQuotes.html
10:33:42, 200, {'Content-Type': 'text/css', 'Content-Length': 777, 'X-Content-Type-Options': 'nosniff'}, /static/css/stockquote.css
10:33:42, 200, {'Content-Type': 'application/javascript', 'Content-Length': 12625, 'X-Content-Type-Options': 'nosniff'}, /static/js/stocks.js
10:33:42, 200, {'Content-Type': 'application/javascript', 'Content-Length': 1230, 'X-Content-Type-Options': 'nosniff'}, /static/js/stockquote.js
10:33:42, 200, {'Content-Type': 'text/html; charset=utf-8', 'Content-Length': 143, 'X-Content-Type-Options': 'nosniff'}, /favicon.ico
10:39:32, 200, {'Content-Type': 'text/html', 'Content-Length': 883, 'X-Content-Type-Options': 'nosniff'}, /static/html/stockQuotes.html
10:39:32, 200, {'Content-Type': 'text/css', 'Content-Length': 777, 'X-Content-Type-Options': 'nosniff'}, /static/css/stockquote.css
10:39:32, 200, {'Content-Type': 'application/javascript', 'Content-Length': 12625, 'X-Content-Type-Options': 'nosniff'}, /static/js/stocks.js
10:39:32, 200, {'Content-Type': 'application/javascript', 'Content-Length': 1230, 'X-Content-Type-Options': 'nosniff'}, /static/js/stockquote.js
10:39:32, 200, {'Content-Type': 'text/html; charset=utf-8', 'Content-Length': 143, 'X-Content-Type-Options': 'nosniff'}, /favicon.ico
10:39:33, 200, {'Content-Type': 'text/html', 'Content-Length': 8056, 'X-Content-Type-Options': 'nosniff'}, /static/html/MySchedule.html
10:39:33, 200, {'Content-Type': 'text/css', 'Content-Length': 1300, 'X-Content-Type-Options': 'nosniff'}, /static/css/MySchedule.css
10:39:33, 200, {'Content-Type': 'application/javascript', 'Content-Length': 6410, 'X-Content-Type-Options': 'nosniff'}, /static/js/MySchedule.js
10:39:33, 200, {'Content-Type': 'image/png', 'Content-Length': 52512, 'X-Content-Type-Options': 'nosniff'}, /static/img/gophers-mascot.png
10:39:34, 200, {'Content-Type': 'image/png', 'Content-Length': 110981, 'X-Content-Type-Options': 'nosniff'}, /static/img/Goldy.png
10:39:34, 200, {'Content-Type': 'text/html; charset=utf-8', 'Content-Length': 143, 'X-Content-Type-Options': 'nosniff'}, /favicon.ico
10:39:40, 200, {'Content-Type': 'text/html', 'Content-Length': 1809, 'X-Content-Type-Options': 'nosniff'}, /static/html/MyServer.html
10:39:40, 200, {'Content-Type': 'text/html; charset=utf-8', 'Content-Length': 143, 'X-Content-Type-Options': 'nosniff'}, /favicon.ico
10:39:45, 200, {'Content-Type': 'text/plain', 'Content-Length': 3, 'X-Content-Type-Options': 'nosniff'}, /calculator?num1=2&operator=%2B&num2=2
10:39:45, 200, {'Content-Type': 'text/html; charset=utf-8', 'Content-Length': 143, 'X-Content-Type-Options': 'nosniff'}, /favicon.ico
10:39:46, 200, {'Content-Type': 'text/html; charset=utf-8', 'Content-Length': 143, 'X-Content-Type-Options': 'nosniff'}, /favicon.ico
10:39:49, 307, {'Location': 'https://www.youtube.com/results?search_query='}, /redirect?query=SQL&site=youtube
10:39:51, 200, {'Content-Type': 'text/html; charset=utf-8', 'Content-Length': 143, 'X-Content-Type-Options': 'nosniff'}, /favicon.ico
10:41:42, 200, {'Content-Type': 'text/html', 'Content-Length': 1809, 'X-Content-Type-Options': 'nosniff'}, /static/html/MyServer.html
10:41:42, 200, {'Content-Type': 'text/html; charset=utf-8', 'Content-Length': 143, 'X-Content-Type-Options': 'nosniff'}, /favicon.ico
10:41:43, 200, {'Content-Type': 'text/html', 'Content-Length': 1809, 'X-Content-Type-Options': 'nosniff'}, /static/html/MyServer.html
10:41:43, 200, {'Content-Type': 'text/html; charset=utf-8', 'Content-Length': 143, 'X-Content-Type-Options': 'nosniff'}, /favicon.ico
10:41:43, 200, {'Content-Type': 'text/html', 'Content-Length': 1809, 'X-Content-Type-Options': 'nosniff'}, /static/html/MyServer.html
10:41:43, 200, {'Content-Type': 'text/html; charset=utf-8', 'Content-Length': 143, 'X-Content-Type-Options': 'nosniff'}, /favicon.ico
